nse_symbol,name,sector,tier,tier_reason,outreach_status,notes,bucket
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,,,pending,,large_cap
SJVN,SJVN Ltd.,Power,,,pending,,mid_cap
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,,,pending,,small_cap
SIEMENS,Siemens Ltd.,Capital Goods,,,pending,,large_cap
ASTRAL,Astral Ltd.,Capital Goods,,,pending,,mid_cap
CRISIL,CRISIL Ltd.,Financial Services,,,pending,,mid_cap
IDBI,IDBI Bank Ltd.,Financial Services,,,pending,,small_cap
INFY,Infosys Ltd.,Information Technology,,,pending,,large_cap
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,,,pending,,small_cap
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,,,pending,,small_cap
SWIGGY,Swiggy Ltd.,Consumer Services,,,pending,,mid_cap
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,,,pending,,small_cap
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,,,pending,,mid_cap
AFFLE,Affle 3i Ltd.,Information Technology,,,pending,,small_cap
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,,,pending,,large_cap
TEJASNET,Tejas Networks Ltd.,Telecommunication,,,pending,,small_cap
LTTS,L&T Technology Services Ltd.,Information Technology,,,pending,,mid_cap
TEGA,Tega Industries Ltd.,Capital Goods,,,pending,,small_cap
ACC,ACC Ltd.,Construction Materials,,,pending,,mid_cap
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,,,pending,,small_cap
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,,,pending,,mid_cap
GESHIP,Great Eastern Shipping Co. Ltd.,Services,,,pending,,small_cap
LT,Larsen & Toubro Ltd.,Construction,,,pending,,large_cap
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,,,pending,,mid_cap
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,,,pending,,large_cap
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,,,pending,,small_cap
VMM,Vishal Mega Mart Ltd.,Consumer Services,,,pending,,mid_cap
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,,,pending,,small_cap
RECLTD,REC Ltd.,Financial Services,,,pending,,large_cap
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,,,pending,,large_cap
IEX,Indian Energy Exchange Ltd.,Financial Services,,,pending,,small_cap
GRAVITA,Gravita India Ltd.,Metals & Mining,,,pending,,small_cap
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,,,pending,,large_cap
BANKBARODA,Bank of Baroda,Financial Services,,,pending,,large_cap
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,,,pending,,large_cap
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,,,pending,,small_cap
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,,,pending,,large_cap
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,,,pending,,mid_cap
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,,,pending,,mid_cap
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,,,pending,,small_cap
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,,,pending,,large_cap
IFCI,IFCI Ltd.,Financial Services,,,pending,,small_cap
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,,,pending,,small_cap
COHANCE,Cohance Lifesciences Ltd.,Healthcare,,,pending,,small_cap
HDFCBANK,HDFC Bank Ltd.,Financial Services,,,pending,,large_cap
SUZLON,Suzlon Energy Ltd.,Capital Goods,,,pending,,mid_cap
ESCORTS,Escorts Kubota Ltd.,Capital Goods,,,pending,,mid_cap
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,,,pending,,small_cap
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,,,pending,,large_cap
GRASIM,Grasim Industries Ltd.,Construction Materials,,,pending,,large_cap
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,,,pending,,small_cap
WOCKPHARMA,Wockhardt Ltd.,Healthcare,,,pending,,small_cap
KPITTECH,KPIT Technologies Ltd.,Information Technology,,,pending,,mid_cap
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,,,pending,,small_cap
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,,,pending,,large_cap
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,,,pending,,large_cap
ABREL,Aditya Birla Real Estate Ltd.,Realty,,,pending,,small_cap
CIPLA,Cipla Ltd.,Healthcare,,,pending,,large_cap
FORTIS,Fortis Healthcare Ltd.,Healthcare,,,pending,,mid_cap
SBIN,State Bank of India,Financial Services,,,pending,,large_cap
TRIDENT,Trident Ltd.,Textiles,,,pending,,small_cap
INDGN,Indegene Ltd.,Healthcare,,,pending,,small_cap
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,,,pending,,large_cap
HAL,Hindustan Aeronautics Ltd.,Capital Goods,,,pending,,large_cap
INOXWIND,Inox Wind Ltd.,Capital Goods,,,pending,,small_cap
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,,,pending,,large_cap
GLAND,Gland Pharma Ltd.,Healthcare,,,pending,,small_cap
SHREECEM,Shree Cement Ltd.,Construction Materials,,,pending,,large_cap
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,,,pending,,small_cap
WIPRO,Wipro Ltd.,Information Technology,,,pending,,large_cap
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,,,pending,,large_cap
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,,,pending,,mid_cap
TATASTEEL,Tata Steel Ltd.,Metals & Mining,,,pending,,large_cap
BANKINDIA,Bank of India,Financial Services,,,pending,,mid_cap
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,,,pending,,small_cap
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,,,pending,,small_cap
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,,,pending,,large_cap
ICICIBANK,ICICI Bank Ltd.,Financial Services,,,pending,,large_cap
TATACHEM,Tata Chemicals Ltd.,Chemicals,,,pending,,small_cap
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,,,pending,,mid_cap
HEXT,Hexaware Technologies Ltd.,Information Technology,,,pending,,mid_cap
OBEROIRLTY,Oberoi Realty Ltd.,Realty,,,pending,,mid_cap
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,,,pending,,mid_cap
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,,,pending,,small_cap
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,,,pending,,mid_cap
NBCC,NBCC (India) Ltd.,Construction,,,pending,,small_cap
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,,,pending,,mid_cap
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,,,pending,,small_cap
PREMIERENE,Premier Energies Ltd.,Capital Goods,,,pending,,mid_cap
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,,,pending,,small_cap
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,,,pending,,small_cap
URBANCO,Urban Company Ltd.,Consumer Services,,,pending,,small_cap
ANTHEM,Anthem Biosciences Ltd.,Healthcare,,,pending,,mid_cap
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,,,pending,,small_cap
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,,,pending,,small_cap
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,,,pending,,small_cap
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,,,pending,,small_cap
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,,,pending,,mid_cap
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,,,pending,,small_cap
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,,,pending,,small_cap
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,,,pending,,small_cap
LICI,Life Insurance Corporation of India,Financial Services,,,pending,,mid_cap
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,,,pending,,small_cap
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,,,pending,,small_cap
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,,,pending,,small_cap
PWL,Physicswallah Ltd.,Consumer Services,,,pending,,small_cap
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,,,pending,,small_cap
NSLNISP,NMDC Steel Ltd.,Metals & Mining,,,pending,,small_cap
NETWEB,Netweb Technologies India Ltd.,Information Technology,,,pending,,small_cap
NTPCGREEN,NTPC Green Energy Ltd.,Power,,,pending,,mid_cap
IGIL,International Gemological Institute Ltd.,Services,,,pending,,small_cap
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,,,pending,,large_cap
MEESHO,Meesho Ltd.,Consumer Services,,,pending,,small_cap
SAGILITY,Sagility Ltd.,Information Technology,,,pending,,small_cap
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,,,pending,,small_cap
ATUL,Atul Ltd.,Chemicals,,,pending,,small_cap
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,,,pending,,large_cap
GRANULES,Granules India Ltd.,Healthcare,,,pending,,small_cap
AFCONS,Afcons Infrastructure Ltd.,Construction,,,pending,,small_cap
CHOICEIN,Choice International Ltd.,Financial Services,,,pending,,small_cap
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,,,pending,,large_cap
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,,,pending,,small_cap
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,,,pending,,small_cap
SCI,Shipping Corporation of India Ltd.,Services,,,pending,,small_cap
CONCOR,Container Corporation of India Ltd.,Services,,,pending,,mid_cap
SAIL,Steel Authority of India Ltd.,Metals & Mining,,,pending,,mid_cap
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,,,pending,,mid_cap
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,,,pending,,small_cap
ABB,ABB India Ltd.,Capital Goods,,,pending,,large_cap
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,,,pending,,large_cap
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,,,pending,,small_cap
BSE,BSE Ltd.,Financial Services,,,pending,,mid_cap
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,,,pending,,small_cap
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,,,pending,,small_cap
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,,,pending,,large_cap
JSWENERGY,JSW Energy Ltd.,Power,,,pending,,mid_cap
INDUSTOWER,Indus Towers Ltd.,Telecommunication,,,pending,,mid_cap
MMTC,MMTC Ltd.,Services,,,pending,,small_cap
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,,,pending,,large_cap
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,,,pending,,small_cap
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,,,pending,,large_cap
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,,,pending,,small_cap
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,,,pending,,large_cap
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,,,pending,,small_cap
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,,,pending,,small_cap
PFC,Power Finance Corporation Ltd.,Financial Services,,,pending,,large_cap
CYIENT,Cyient Ltd.,Information Technology,,,pending,,small_cap
KFINTECH,Kfin Technologies Ltd.,Financial Services,,,pending,,small_cap
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,,,pending,,mid_cap
TATATECH,Tata Technologies Ltd.,Information Technology,,,pending,,small_cap
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,,,pending,,small_cap
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,,,pending,,small_cap
DELHIVERY,Delhivery Ltd.,Services,,,pending,,small_cap
