nse_symbol,name,sector,tier,tier_reason,outreach_status,notes,bucket
KRBL,KRBL Ltd.,Fast Moving Consumer Goods,,,pending,,micro_cap
FEDFINA,Fedbank Financial Services Ltd.,Financial Services,,,pending,,micro_cap
PRUDENT,Prudent Corporate Advisory Services Ltd.,Financial Services,,,pending,,micro_cap
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,Construction,,,pending,,micro_cap
MANORAMA,Manorama Industries Ltd.,Fast Moving Consumer Goods,,,pending,,micro_cap
ENTERO,Entero Healthcare Solutions Ltd.,Consumer Services,,,pending,,micro_cap
PRSMJOHNSN,Prism Johnson Ltd.,Construction Materials,,,pending,,micro_cap
BALUFORGE,Balu Forge Industries Ltd.,Capital Goods,,,pending,,micro_cap
SKYGOLD,SKY GOLD AND DIAMONDS Ltd.,Consumer Durables,,,pending,,micro_cap
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,,,pending,,micro_cap
RCF,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,,,pending,,micro_cap
RAYMONDLSL,Raymond Lifestyle Ltd.,Textiles,,,pending,,micro_cap
AZAD,Azad Engineering Ltd.,Capital Goods,,,pending,,micro_cap
EMIL,Electronics Mart India Ltd.,Consumer Services,,,pending,,micro_cap
CORONA,CORONA Remedies Ltd.,Healthcare,,,pending,,micro_cap
ARVIND,Arvind Ltd.,Textiles,,,pending,,micro_cap
GAEL,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,,,pending,,micro_cap
JAMNAAUTO,Jamna Auto Industries Ltd.,Automobile and Auto Components,,,pending,,micro_cap
ALIVUS,Alivus Life Sciences Ltd.,Healthcare,,,pending,,micro_cap
PARAS,Paras Defence and Space Technologies Ltd.,Capital Goods,,,pending,,micro_cap
ETHOSLTD,Ethos Ltd.,Consumer Durables,,,pending,,micro_cap
STYL,Seshaasai Technologies Ltd.,Financial Services,,,pending,,micro_cap
BALAMINES,Balaji Amines Ltd.,Chemicals,,,pending,,micro_cap
VIPIND,V.I.P. Industries Ltd.,Consumer Durables,,,pending,,micro_cap
REFEX,Refex Industries Ltd.,Chemicals,,,pending,,micro_cap
EQUITASBNK,Equitas Small Finance Bank Ltd.,Financial Services,,,pending,,micro_cap
EMBDL,Embassy Developments Ltd.,Realty,,,pending,,micro_cap
PRAJIND,Praj Industries Ltd.,Capital Goods,,,pending,,micro_cap
HCG,Healthcare Global Enterprises Ltd.,Healthcare,,,pending,,micro_cap
VIKRAMSOLR,Vikram Solar Ltd.,Capital Goods,,,pending,,micro_cap
ZAGGLE,Zaggle Prepaid Ocean Services Ltd.,Information Technology,,,pending,,micro_cap
SUPRIYA,Supriya Lifescience Ltd.,Healthcare,,,pending,,micro_cap
RBA,Restaurant Brands Asia Ltd.,Consumer Services,,,pending,,micro_cap
LLOYDSENT,Lloyds Enterprises Ltd.,Metals & Mining,,,pending,,micro_cap
WEWORK,WeWork India Management Ltd.,Services,,,pending,,micro_cap
THANGAMAYL,Thangamayil Jewellery Ltd.,Consumer Durables,,,pending,,micro_cap
ELECTCAST,Electrosteel Castings Ltd.,Capital Goods,,,pending,,micro_cap
RENUKA,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,,,pending,,micro_cap
STLTECH,Sterlite Technologies Ltd.,Telecommunication,,,pending,,micro_cap
SAMHI,Samhi Hotels Ltd.,Consumer Services,,,pending,,micro_cap
JAIBALAJI,Jai Balaji Industries Ltd.,Metals & Mining,,,pending,,micro_cap
LLOYDSENGG,Lloyds Engineering Works Ltd.,Capital Goods,,,pending,,micro_cap
MIDHANI,Mishra Dhatu Nigam Ltd.,Capital Goods,,,pending,,micro_cap
INDIGOPNTS,Indigo Paints Ltd.,Consumer Durables,,,pending,,micro_cap
AKUMS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,,,pending,,micro_cap
HEMIPROP,Hemisphere Properties India Ltd.,Services,,,pending,,micro_cap
AETHER,Aether Industries Ltd.,Chemicals,,,pending,,micro_cap
OSWALPUMPS,Oswal Pumps Ltd.,Capital Goods,,,pending,,micro_cap
