isin,nse_symbol,name,industry,series,in_total_market,in_nifty500,in_midcap150,in_smallcap250,in_microcap250,bucket
DU1205A01025,DUMMYVEDL1,Dummy Vedanta Ltd. 1,Metals & Mining,EQ,True,True,False,False,False,large_cap
DU2205A01025,DUMMYVEDL2,Dummy Vedanta Ltd. 2,Power,EQ,True,True,False,False,False,large_cap
DU3205A01025,DUMMYVEDL3,Dummy Vedanta Ltd. 3,Oil Gas & Consumable Fuels,EQ,True,True,False,False,False,large_cap
DU4205A01025,DUMMYVEDL4,Dummy Vedanta Ltd. 4,Metals & Mining,EQ,True,True,False,False,False,large_cap
DUM418H01029,DUMMYALCAR,Dummy Allcargo Logistics Ltd.,Services,EQ,True,False,False,False,True,micro_cap
INE001B01026,KRBL,KRBL Ltd.,Fast Moving Consumer Goods,EQ,True,False,False,False,True,micro_cap
INE002A01018,RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,EQ,True,True,False,False,False,large_cap
INE002L01015,SJVN,SJVN Ltd.,Power,EQ,True,True,True,False,False,mid_cap
INE002S01010,MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,EQ,True,True,False,True,False,small_cap
INE003A01024,SIEMENS,Siemens Ltd.,Capital Goods,EQ,True,True,False,False,False,large_cap
INE006I01046,ASTRAL,Astral Ltd.,Capital Goods,EQ,True,True,True,False,False,mid_cap
INE007A01025,CRISIL,CRISIL Ltd.,Financial Services,EQ,True,True,True,False,False,mid_cap
INE007N01010,FEDFINA,Fedbank Financial Services Ltd.,Financial Services,EQ,True,False,False,False,True,micro_cap
INE008A01015,IDBI,IDBI Bank Ltd.,Financial Services,EQ,True,True,False,True,False,small_cap
INE009A01021,INFY,Infosys Ltd.,Information Technology,EQ,True,True,False,False,False,large_cap
INE00E101023,BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,EQ,True,True,False,True,False,small_cap
INE00F201020,PRUDENT,Prudent Corporate Advisory Services Ltd.,Financial Services,EQ,True,False,False,False,True,micro_cap
INE00FF01025,ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,EQ,True,True,False,True,False,small_cap
INE00H001014,SWIGGY,Swiggy Ltd.,Consumer Services,EQ,True,True,True,False,False,mid_cap
INE00LO01017,CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,EQ,True,True,False,True,False,small_cap
INE00M201021,SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,Construction,EQ,True,False,False,False,True,micro_cap
INE00R701025,DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,EQ,True,True,True,False,False,mid_cap
INE00VM01036,MANORAMA,Manorama Industries Ltd.,Fast Moving Consumer Goods,EQ,True,False,False,False,True,micro_cap
INE00WC01027,AFFLE,Affle 3i Ltd.,Information Technology,EQ,True,True,False,True,False,small_cap
INE010601016,ENTERO,Entero Healthcare Solutions Ltd.,Consumer Services,EQ,True,False,False,False,True,micro_cap
INE010A01011,PRSMJOHNSN,Prism Johnson Ltd.,Construction Materials,EQ,True,False,False,False,True,micro_cap
INE010B01027,ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,EQ,True,True,False,False,False,large_cap
INE010J01012,TEJASNET,Tejas Networks Ltd.,Telecommunication,EQ,True,True,False,True,False,small_cap
INE010V01017,LTTS,L&T Technology Services Ltd.,Information Technology,EQ,True,True,True,False,False,mid_cap
INE011E01029,BALUFORGE,Balu Forge Industries Ltd.,Capital Goods,EQ,True,False,False,False,True,micro_cap
INE011K01018,TEGA,Tega Industries Ltd.,Capital Goods,EQ,True,True,False,True,False,small_cap
INE012A01025,ACC,ACC Ltd.,Construction Materials,EQ,True,True,True,False,False,mid_cap
INE013P01021,ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,EQ,True,True,False,True,False,small_cap
INE016A01026,DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,EQ,True,True,True,False,False,mid_cap
INE017A01032,GESHIP,Great Eastern Shipping Co. Ltd.,Services,EQ,True,True,False,True,False,small_cap
INE018A01030,LT,Larsen & Toubro Ltd.,Construction,EQ,True,True,False,False,False,large_cap
INE018E01016,SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,EQ,True,True,True,False,False,mid_cap
INE019A01038,JSWSTEEL,JSW Steel Ltd.,Metals & Mining,EQ,True,True,False,False,False,large_cap
INE019C01026,HSCL,Himadri Speciality Chemical Ltd.,Chemicals,EQ,True,True,False,True,False,small_cap
INE01EA01019,VMM,Vishal Mega Mart Ltd.,Consumer Services,EQ,True,True,True,False,False,mid_cap
INE01IU01018,SKYGOLD,SKY GOLD AND DIAMONDS Ltd.,Consumer Durables,EQ,True,False,False,False,True,micro_cap
INE01TY01017,CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,EQ,True,True,False,True,False,small_cap
INE020B01018,RECLTD,REC Ltd.,Financial Services,EQ,True,True,False,False,False,large_cap
INE021A01026,ASIANPAINT,Asian Paints Ltd.,Consumer Durables,EQ,True,True,False,False,False,large_cap
INE022Q01020,IEX,Indian Energy Exchange Ltd.,Financial Services,EQ,True,True,False,True,False,small_cap
INE024L01027,GRAVITA,Gravita India Ltd.,Metals & Mining,EQ,True,True,False,True,False,small_cap
INE026A01025,GSFC,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,EQ,True,False,False,False,True,micro_cap
INE027A01015,RCF,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,EQ,True,False,False,False,True,micro_cap
INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,EQ,True,True,False,False,False,large_cap
INE028A01039,BANKBARODA,Bank of Baroda,Financial Services,EQ,True,True,False,False,False,large_cap
INE029A01011,BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,True,True,False,False,False,large_cap
INE02ID01020,RAYMONDLSL,Raymond Lifestyle Ltd.,Textiles,EQ,True,False,False,False,True,micro_cap
INE02IJ01035,AZAD,Azad Engineering Ltd.,Capital Goods,EQ,True,False,False,False,True,micro_cap
INE02RE01045,FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,EQ,True,True,False,True,False,small_cap
INE02YR01019,EMIL,Electronics Mart India Ltd.,Consumer Services,EQ,True,False,False,False,True,micro_cap
INE02ZQ01018,CORONA,CORONA Remedies Ltd.,Healthcare,EQ,True,False,False,False,True,micro_cap
INE030A01027,HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,EQ,True,True,False,False,False,large_cap
INE031A01017,HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,EQ,True,True,True,False,False,mid_cap
INE031B01049,AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,EQ,True,True,True,False,False,mid_cap
INE034A01011,ARVIND,Arvind Ltd.,Textiles,EQ,True,False,False,False,True,micro_cap
