isin,nse_symbol,name,series,date_of_listing,face_value,bse_code,bse_symbol,industry,bse_group,listed_on
IN9175A01010,JISLDVREQS,Jain Irrigation Systems Limited,EQ,30-NOV-2011,2,,,,,NSE
IN9623B01058,FELDVR,Future Enterprises Limited,BZ,13-FEB-2009,2,,,,,NSE
INE001B01026,KRBL,KRBL Limited,EQ,21-JAN-2002,1,,,,,NSE
INE001E01012,PREMCO,Premco Global Limited,EQ,20-APR-2026,10,,,,,NSE
INE002A01018,RELIANCE,Reliance Industries Limited,EQ,29-NOV-1995,10,,,,,NSE
INE002L01015,SJVN,SJVN Limited,EQ,20-MAY-2010,10,,,,,NSE
INE002S01010,MGL,Mahanagar Gas Limited,EQ,01-JUL-2016,10,,,,,NSE
INE003A01024,SIEMENS,Siemens Limited,EQ,06-SEP-1995,2,,,,,NSE
INE004A01022,PROTEAN,Protean eGov Technologies Limited,EQ,06-FEB-2025,10,,,,,NSE
INE005B01027,AVANTEL,Avantel Limited,EQ,31-JUL-2024,2,,,,,NSE
INE005I01014,AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,,,,,NSE
INE006I01046,ASTRAL,Astral Limited,EQ,20-MAR-2007,1,,,,,NSE
INE006Z01016,ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021,10,,,,,NSE
INE007A01025,CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,,,,,NSE
INE007B01023,GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,,,,,NSE
INE007N01010,FEDFINA,Fedbank Financial Services Limited,EQ,30-NOV-2023,10,,,,,NSE
INE008A01015,IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10,,,,,NSE
INE009A01021,INFY,Infosys Limited,EQ,08-FEB-1995,5,,,,,NSE
INE00CA01015,TREJHARA,TREJHARA SOLUTIONS LIMITED,EQ,28-DEC-2018,10,,,,,NSE
INE00CE01017,SVLL,Shree Vasu Logistics Limited,EQ,21-APR-2023,10,,,,,NSE
INE00E101023,BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,,,,,NSE
INE00EM01016,MEGASTAR,Megastar Foods Limited,EQ,16-FEB-2022,10,,,,,NSE
INE00EV01017,HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,10,,,,,NSE
INE00F201020,PRUDENT,Prudent Corporate Advisory Services Limited,EQ,20-MAY-2022,5,,,,,NSE
